,Diputado,Anio,Doc,Folio,Fecha,Asesor,Detalle,Monto
154,Juan Antonio Coloma Álamos,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",1000000
155,Juan Antonio Coloma Álamos,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,5000000
156,Juan Antonio Coloma Álamos,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA.,500000
157,Juan Antonio Coloma Álamos,2019,,6200,09 jan 2019,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",5000000
158,Juan Antonio Coloma Álamos,2018,,,,FUNDACION JAIME GUZMAN,INFORME SOBRE PROYECTO DE LEY DE PLATAFORMAS TECNOLÓGICAS.,350000
159,Juan Antonio Coloma Álamos,2018,,5678,29 mar 2018,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",500000
160,Juan Antonio Coloma Álamos,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
161,Juan Antonio Coloma Álamos,2018,,5797,19 apr 2018,FUNDACION JAIME GUZMAN,INFORMES RESUMEN A LA SALA,3000000
162,Miguel Crispi Serrano,2020,,,,EL MAPA CONSULTORES SPA,Análisis y estrategia digital.,330000
163,Miguel Crispi Serrano,2019,,,,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUD GOBIERNO SEBASTÍAN PIÑERA.",1260000
164,Miguel Crispi Serrano,2019,,,,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUDO GOBIERNO SEBASTÍAN PIÑERA",630000
165,Miguel Crispi Serrano,2019,,6203,23 jan 2019,EL MAPA CONSULTORES SPA,ANÁLISIS DE REDES SOCIALES Y ESTRATEGIA DIGITAL.,660000
166,Miguel Crispi Serrano,2018,,,,MARCELO ANDRÉS PÉREZ QUILAQUEO,"- Informe de gasto estatal en prestaciones de salud en sistemas público y privado (monto, volúmenes, proporción, comparación) - Estudio y evaluación técnica política agenda legislativa Ministerio de Salud",1700000
167,Miguel Crispi Serrano,2018,,,,EL MAPA CONSULTORES SPA,"SEGUIMIENTO LEGISLATIVO AGENDA DE SALUD EN CONGRESO NACIONAL.INFORME DE TRAMITACIÓN, DISCUSIÓN, NUDOS CRÍTICOS, ACTORES Y POSICIONES PROYECTO QUE MODIFICA EL CÓDIGO SANITARIO PARA REGULAR LOS MEDICAMENTOS BIOEQUIVALENTES GENÉRICOS Y EVITAR LA INTEGRACIÓN VERTICAL DE LABORATORIOS Y FARMACIAS. (BOLETÍN N°9914-11).",1000000
168,Miguel Crispi Serrano,2018,,,,EL MAPA CONSULTORES SPA,"ANÁLISIS DE IMPACTO JURÍDICO SANITARIO DE INDICACIONES SOBRE EL PROYECTO DE LEY QUE ""MODIFICA EL CÓDIGO SANITARIO PARA REGULAR LOS MEDICAMENTOS BIOEQUIVALENTES GENÉRICOS Y EVITAR LA INTEGRACIÓN VERTICAL DE LABORATORIOS Y FARMACIAS"" (BOLETÍN N°9914-11)",1000000
169,Miguel Crispi Serrano,2018,,5668,11 mar 2018,EL MAPA CONSULTORES SPA,"ESTUDIO DE MODIFICACIONES, ANÁLISIS, PROPUESTA DE INDICACIONES DE TÍTULO IV SOBRE ""REPORTES DE TRANSPARENCIA Y REGULACIÓN DE CONFLICTOS DE INTERESES"" EN PROYECTO QUE MODIFICA EL CÓDIGO SANITARIO PARA REGULAR LOS MEDICAMENTOS BIOEQUIVALENTES GENÉRICOS Y EVITAR LA INTEGRACIÓN VERTICAL DE LABORATORIOS Y FARMACIAS (BOLETÍN 9914-11).SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA GOBIERNO SEBASTÍAN PIÑERA.REPORTE SEGUIMIENTO AGENDA GLOBAL EN COMISIONES DE SALUD EN CÁMARA Y SENADO",1000000
170,Miguel Crispi Serrano,2018,,,,EL MAPA CONSULTORES SPA,SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA GOBIERNO SEBASTÍAN PIÑERA.REPORTE SEGUIMIENTO AGENDA GLOBAL EN COMISIONES DE SALUD EN CÁMARA Y SENADO.,300000
171,Miguel Crispi Serrano,2018,,5892,30 may 2018,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUD GOBIERNO SEBASTÍAN PIÑERA",600000
172,Miguel Crispi Serrano,2018,,,,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUD Y DDHH GOBIERNO SEBASTÍAN PIÑERA",600000
173,Miguel Crispi Serrano,2018,,5977,25 jun 2018,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUD Y DDHH GOBIERNO SEBASTÍAN PIÑERA.",600000
174,Miguel Crispi Serrano,2018,,,,EL MAPA CONSULTORES SPA,"SEGUIMIENTO Y EVALUACIÓN AGENDA LEGISLATIVA PRIORITARIA, REFORMAS ESTRUCTURALES Y SECTORIAL SALUD Y DDHH GOBIERNO SEBASTÍAN PIÑERA",600000
175,Nora Cuevas Contreras,2021,,,,FUNDACION JAIME GUZMAN,"ASISTENCIA PRESENCIAL O TELEMÁTICA DE PROFESIONALES DEL ÁREA LEGISLATIVA DE LA FUNDACIÓN A LAS SESIONES DE LAS COMISIONES LEGISLATIVAS PERMANENTES EN QUE PARTICIPEN LOS DIPUTADOS CONTRATANTES, CON EL OBJETO DE ASESORARLOS Y APORTARLES INFORMACIÓN TÉCNICA RELEVANTE, PREPARAR MINUTAS DE ANÁLISIS Y COLABORAR EN LA REDACCIÓN DE INDICACIONES SOBRE LOS PROYECTOS DE LEY DEBATIDOS EN ESAS COMISIONES. ASÍ TAMBIÉN SE PRESTARÁ ASESORÍA TÉCNICA JURÍDICA EN LAS COMISIONES INVESTIGADORAS Y EN LOS REQUERIMIENTOS AL TRIBUNAL CONSTITUCIONAL EN QUE PARTICIPEN O QUE PRESENTEN LOS DIPUTADOS CONTRATANTES. ASIMISMO, SE REALIZARÁN MINUTAS DE CONTINGENCIA PARA EL RESPALDO TÉCNICO DE REPORTAJES EN LA PRENSA NACIONAL. ADICIONALMENTE, SE DISTRIBUIRÁ COPIA DE LOS INFORMES DENOMINADOS “RESUMEN A LA SALA”, QUE DESCRIBEN Y ANALIZAN SUCINTAMENTE LOS PRINCIPALES PROYECTOS DE LEY QUE SEAN PUESTOS EN TABLA PARA SU VOTACIÓN EN LA SALA DE LA CÁMARA, A TODOS LOS DIPUTADOS CONTRATANTES.",6000000
176,Nora Cuevas Contreras,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,2500000
177,Catalina Del Real Mihovilovic,2018,,,,MICHELLE ENRIQUETA ONFRAY VIVANCO,Análisis y Asesoría sobre modificaciones a la Ley N°20.422.,700000
178,Catalina Del Real Mihovilovic,2018,,5692,11 mar 2018,MICHELLE ENRIQUETA ONFRAY VIVANCO,ANÁLISIS Y ASESORÍA SOBRE MODIFICACIONES A LA LEY N°20.422,500000
179,Catalina Del Real Mihovilovic,2018,,,,MICHELLE ENRIQUETA ONFRAY VIVANCO,"Informe sobre ""Personas Dependientes"" para actividades cotidianas (continuación del Análisis y Asesoría sobre modificación a la Ley N°20.422).",500000
180,Catalina Del Real Mihovilovic,2018,,5730,13 apr 2018,MICHELLE ENRIQUETA ONFRAY VIVANCO,INFORME SOBRE PERSONAS TERAPIA DEPENDIENTES PARA ACTIVIDADES COTIDIANAS.(CONTINUACIÓN DEL ANÁLISIS Y ASESORÍA SOBRE MODIFICACIONES A LA LEY N° 20.422),500000
181,Marcelo Díaz Díaz,2018,,,,FELIPE EDUARDO MEDINA MALDONADO,"INFORMES, MINUTAS Y ASESORÍA PARA ASISTIR LA FUNCIÓN PARLAMENTARIA",430000
182,Marcelo Díaz Díaz,2018,,5695,29 mar 2018,NICOLÁS IGNACIO FACUSE VÁSQUEZ,"ASESORÍA PARA EL TRABAJO LEGISLATIVO, EN PARTICULAR EN MATERIAS RELACIONADAS CON EL TRABAJO DE LAS COMISIONES DE CULTURA, ARTES Y COMUNICACIONES; Y CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO.",500000
183,Marcelo Díaz Díaz,2018,,,,FELIPE EDUARDO MEDINA MALDONADO,"INFORME, MINUTAS Y ASESORÍA PARA ASISTIR LA FUNCIÓN PARLAMENTARIA.",800000
184,Marcelo Díaz Díaz,2018,,5819,27 apr 2018,FELIPE EDUARDO MEDINA MALDONADO,"INFORMES, MINUTAS PARA ASISTIR LA LABOR PARLAMENTARIA.",700000
185,Marcelo Díaz Díaz,2018,,,,NICOLÁS IGNACIO FACUSE VÁSQUEZ,"ASESORÍA JURÍDICA LEGISLATIVA, EN PARTICULAR, VINCULADA A LAS MATERIAS TRATADAS EN LAS SIGUIENTES COMISIONES: CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO; Y CULTURA Y DE LAS ARTES. ASÍ COMO TAMBIÉN, EN LA PREPARACIÓN DE OFICIOS, PROYECTOS DE ACUERDO, INDICACIONES Y PROYECTOS DE LEY, ENTRE OTROS.",250000
186,Marcelo Díaz Díaz,2018,,5822,26 apr 2018,FELIPE EDUARDO MEDINA MALDONADO,"INFORMES, MINUTAS PARA ASISTIR LA LABOR PARLAMENTARIA",723000
187,Jorge Durán Espinoza,2018,,,,JUAN PEDRO CLAVEL DUK,"LEVANTAMIENTO DE INFORMACIÓN DE LAS COMISIONES QUE LE INTERESA Y/O PARTICIPA CONSTANTEMENTE, QUE SON SALUD, ENERGÍA Y MINERÍA.REDACTAR MINUTAS DE TRABAJO DE LO TRASCENDENTAL DE CADA COMISIÓN Y EFECTUAR UN SEGUIMIENTO DE LO QUE EXPRESA CADA INTEGRANTE DE LA COMISIÓN, TANTO A NIVEL INTERNO COMO EXTERNO(CMENTARIOS EN MEDIOS DE COMUNICACIÓN).PREPARAR COMUNICACIONALMENTE AL DIPUTADO.COORDINAR REUNIONES EN CONJUNTO CON LA ASESORA LEGISLATIVA PARA ABORDAR TÓPICOS DE LA ACTUALIDAD POLÍTICA, COMO TAMBIÉN DE LA ACTUALIDAD DEL DISTRITO QUE REPRESENTA EL LEGISLADOR. EL PLAZO DE ENTREGA DEL INFORME CONVENIDO ES EL DÍA 03 DE ABRIL DE 2018.",700000
188,Jorge Durán Espinoza,2018,,5715,29 mar 2018,EDUARDO PATRICIO LÓPEZ BRAVO,ANÁLISIS DE PRENSA RELATIVOS A TEMAS DE ESPECIAL INTERÉS DEL DIPUTADO.ASESORÍA EX ESTRATEGIAS DE ENFOQUE COMUNICACIONAL.,500000
189,Jorge Durán Espinoza,2018,,,,EDUARDO PATRICIO LÓPEZ BRAVO,ANÁLISIS DE PRENSA RELATIVOS A TEMAS DE ESPECIAL INTERÉS DEL DIPUTADO.ASESORÍA EN ESTRATEGIAS DE ENFOQUE COMUNICACIONAL.,500000
190,Jorge Durán Espinoza,2018,,5804,23 apr 2018,JUAN PEDRO CLAVEL DUK,ANÁLISIS DE PRENSA RELATIVOS A TEMAS DE ESPECIAL INTERÉS DEL DIPUTADO.ASESORÍA EN ESTRATEGIAS DE ENFOQUE COMUNICACIONAL.,500000
191,Eduardo Durán Salinas,2018,,,,ALVARO RENATO UNDURRAGA JULIO,INFORME QUE CARACTERIZA LA POBLACIÓN PENITENCIARIA RECLUSA ACOGIDA POR LA IGLESIA EVANGÉLICA EN LA REGIÓN METROPOLITANA ADSCRITA AL MODULO APAC,700000
192,Eduardo Durán Salinas,2018,,5705,29 mar 2018,ALVARO RENATO UNDURRAGA JULIO,INFORME SOBRE PENA DE MUERTE EN CHILE. IDEAS PARA SU EVENTUAL REPOSICIÓN.,1000000
193,Eduardo Durán Salinas,2018,,,,ALVARO RENATO UNDURRAGA JULIO,"ASESORÍA COMISIÓN FAMILIA, TRABAJO Y OTROS.",1000000
194,Francisco Eguiguren Correa,2018,,,,PAMELA ANDREA OLAVARRÍA PONTICAS,"INFORME SOBRE LA AUTOMATIZACIÓN LABORAL, SUS POSIBLES EFECTOS EN CHILE Y PROPUESTA DE SOLUCIONES.",700000
195,Francisco Eguiguren Correa,2018,,5694,29 mar 2018,PAMELA ANDREA OLAVARRÍA PONTICAS,MINUTAS Y APOYO EN TEMA LITIO-SQM.INFORME SOBRE PROCESO DE AUTORIZACIÓN DE DOMINGA.,800000
196,Francisco Eguiguren Correa,2018,,,,PAMELA ANDREA OLAVARRÍA PONTICAS,PROPUESTA PARA PONER EL FIN AL SENAME Y REEMPLAZARLO POR UN NUEVO SISTEMA DE PROTECCIÓN DE MENORES.,800000
197,Francisco Eguiguren Correa,2018,,5743,17 apr 2018,PAMELA ANDREA OLAVARRÍA PONTICAS,INFORME SOBRE REINGRESO DE JULIO PONCE LEROU COMO ASESOR DE SQM Y REVISIÓN DE CONTRATOS FIRMADOS CON CORFO.,800000
198,Fidel Espinoza Sandoval,2019,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario.,1000000
199,Fidel Espinoza Sandoval,2019,,6186,01 jan 2019,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario,1000000
200,Fidel Espinoza Sandoval,2019,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoria y seguimiento legislativo y parlamentario,1000000
201,Fidel Espinoza Sandoval,2018,,,,JAVIER SANCHEZ REYES,PRESTACIÓN DE SERVICIOS LEGISLATIVOS Y ASESORÍA MEDIOAMBIENTAL,700000
202,Fidel Espinoza Sandoval,2018,,5664,11 mar 2018,MIGUEL ANGEL DÍAZ OLEA,ASESORÍA Y SEGUIMIENTO LEGISLATIVO Y PARLAMENTARIO.,1000000
203,Fidel Espinoza Sandoval,2018,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario,1000000
204,Fidel Espinoza Sandoval,2018,,5728,13 apr 2018,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario,1000000
205,Fidel Espinoza Sandoval,2018,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario,1000000
206,Fidel Espinoza Sandoval,2018,,5836,01 may 2018,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario.,1000000
207,Fidel Espinoza Sandoval,2018,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario.,1000000
208,Fidel Espinoza Sandoval,2018,,5939,01 jun 2018,MIGUEL ANGEL DÍAZ OLEA,ASESORÍA Y SEGUIMIENTO LEGISLATIVO Y PARLAMENTARIO.,1000000
209,Fidel Espinoza Sandoval,2018,,,,MIGUEL ANGEL DÍAZ OLEA,Asesoría y seguimiento legislativo y parlamentario.,1000000
210,Maya Fernández Allende,2018,,,,ASESORIAS CRISTINA ZUÑIGA PAREDES EIRL,"Asesoría Parlamentaria para trabajo legislativo y levantamiento de información para temas , planificación urbana y situación de migrantes en Comunas del Distrito.",500000
211,Maya Fernández Allende,2018,,5672,11 mar 2018,MATÍAS ALFREDO TORRES RIVARA,Asesoría Legislativa con seguimiento de actividades territoriales con dirigentes sociales,1000000
212,Maya Fernández Allende,2018,,,,MATÍAS ALFREDO TORRES RIVARA,Asesoría Legislativa con seguimiento de actividades territoriales con dirigentes sociales.,1000000
213,Maya Fernández Allende,2018,,5713,01 apr 2018,MATÍAS ALFREDO TORRES RIVARA,Asesoría Legislativa. Seguimiento de actividades territoriales con dirigentes sociales.,1000000
214,Iván Flores García,2020,,,,PATRICIA EUGENIA MORANO BÜCHNER,RECOPILACIÓN Y ANÁLISIS DE PERTINENCIA DE PROYECTOS DE LEY EN APOYO AL CUERPO DE BOMBEROS DE CHILE Y SOCORRISTAS.,1030000
215,Iván Flores García,2019,,,,PATRICIA EUGENIA MORANO BÜCHNER,"ANÁLISIS LEGISLATIVO DE LA LEY QUE MEJORA PENSIONES DEL SISTEMA DE PENSIONES SOLIDARIAS Y DEL SISTEMA DE PENSIONES DE CAPITALIZACIÓN INDIVIDUAL, CREA NUEVOS BENEFICIOS DE PENSIÓN PARA LA CLASE MEDIA Y LAS MUJERES, CREA UN SUBSIDIO Y SEGURO DE DEPENDENCIA E INTRODUCE MODIFICACIONES EN LOS CUERPOS LEGALES QUE INDICA. BOLETÍN N°12212-13",2060000
216,Iván Flores García,2019,,6292,27 jun 2019,PATRICIA EUGENIA MORANO BÜCHNER,"ANÁLISIS LEGISLATIVO DE LA COMISIÓN ESPECIAL INVESTIGADORA DE LOS PROBLEMAS DE RECURSOS, LOGÍSTICA Y ORGANIZACIÓN EXISTENTE EN EL PAÍS PARA EL MANEJO DE EMERGENCIAS PRODUCIDAS POR INCENDIOS FORESTALES.",2060000
217,Iván Flores García,2018,,,,JAIME PILOWSKY GREENE,ASESORÍA Y APOYO DE MATERIAL LEGISLATIVO PARA LA COMISIÓN DE SEGURIDAD CIUDADANA.,1300000
218,Iván Flores García,2018,,5814,24 apr 2018,ESTEFANÍA BRAVO MARKETING Y COMINICACIONES EIRL,"ASESORÍA Y ANÁLISIS DE IMPACTO COMUNICACIONAL SOBRE TEMA ""LECHERAS EN CHILE"", TRATADO EN COMISIÓN DE AGRICULTURA.",700000
219,Iván Flores García,2018,,,,JAIME PILOWSKY GREENE,ASESORÍA Y APOYO DE MATERIAL LEGISLATIVO PARA LA COMISIÓN DE SEGURIDAD CIUDADANA.,1000000
220,Iván Flores García,2018,,5930,14 jun 2018,JAIME PILOWSKY GREENE,"ASESORÍA Y APOYO DE MATERIAL LEGISLATIVO PARA EL DIPUTADO IVÁN FLORES GARCÍA, RELACIONADO CON MATERIAS PROPIAS DE LA COMISIÓN DE SEGURIDAD CIUDADANA DE LA CÁMARA DE DIPUTADOS.",2000000
221,Iván Flores García,2018,,,,JAIME PILOWSKY GREENE,ASESORÍA JURÍDICA PARA EL ANÁLISIS DE LOS DIVERSOS PROYECTOS QUE SE TRAMITAN EN EL CONGRESO NACIONAL; APOYO EN LA FACULTAD FISCALIZADORA; REDACCIÓN DE OFICIOS Y MINUTAS SOBRE POLÍTICAS PÚBLICAS EN LAS ÁREAS QUE SOLICITE EL DIPUTADO.,1500000
222,Iván Flores García,2018,,5931,18 jun 2018,MICHEL DE L HERBE DINAMARCA,"ASESORÍA EN LA CREACIÓN DE UN PROYECTO DE REFORMA EN LOS ESTATUTOS PARA LA AMPLIACIÓN DE LOS ALCANCES DE LA COMISIÓN DE SEGURIDAD CIUDADANA INCORPORANDO ""EMERGENCIAS""",500000
223,Iván Flores García,2018,,,,JAIME PILOWSKY GREENE,"ASESORÍA EN MATERIAS LEGISLATIVAS.PREPARACIÓN DE INFORMES.SOLICITUDES DE INFORMACIÓN.PREPARACIÓN DE ACCIONES DE FISCALIZACIÓN.MINUTAS DE ANÁLISIS DE TEMAS RELATIVOS A LAS COMISIONES DONDE PARTICIPA EN DIPUTADO, O CUALQUIER MATERIA QUE SE DISCUTA A NIVEL PARLAMENTARIO.",1000000
224,Camila Flores Oporto,2018,,,,MARTA BEATRIZ SALDAÑA SALDAÑA,"ASESORÍA EXTERNA, RELATIVO A TODAS AQUELLAS MATERIAS DE CONTINGENCIAS Y QUE REQUIERAN DE UN ANÁLISIS DOCTRINARIO Y JURISPRUDENCIAL EN DERECHO, PROPONIENDO EL RESPECTIVO INFORME CONFORME A LO SOLICITADO POR LA HONORABLE DIPUTADA.",2000000
225,Juan Fuenzalida Cobo,2021,,,,FUNDACION JAIME GUZMAN,"ASISTENCIA PRESENCIAL O TELEMÁTICA DE PROFESIONALES DEL ÁREA LEGISLATIVA DE LA FUNDACIÓN A LAS SESIONES DE LAS COMISIONES LEGISLATIVAS PERMANENTES EN QUE PARTICIPEN LOS DIPUTADOS CONTRATANTES, CON EL OBJETO DE ASESORARLOS Y APORTARLES INFORMACIÓN TÉCNICA RELEVANTE, PREPARAR MINUTAS DE ANÁLISIS Y COLABORAR EN LA REDACCIÓN DE INDICACIONES SOBRE LOS PROYECTOS DE LEY DEBATIDOS EN ESAS COMISIONES. ASÍ TAMBIÉN SE PRESTARÁ ASESORÍA TÉCNICA JURÍDICA EN LAS COMISIONES INVESTIGADORAS Y EN LOS REQUERIMIENTOS AL TRIBUNAL CONSTITUCIONAL EN QUE PARTICIPEN O QUE PRESENTEN LOS DIPUTADOS CONTRATANTES. ASIMISMO, SE REALIZARÁN MINUTAS DE CONTINGENCIA PARA EL RESPALDO TÉCNICO DE REPORTAJES EN LA PRENSA NACIONAL. ADICIONALMENTE, SE DISTRIBUIRÁ COPIA DE LOS INFORMES DENOMINADOS “RESUMEN A LA SALA”, QUE DESCRIBEN Y ANALIZAN SUCINTAMENTE LOS PRINCIPALES PROYECTOS DE LEY QUE SEAN PUESTOS EN TABLA PARA SU VOTACIÓN EN LA SALA DE LA CÁMARA, A TODOS LOS DIPUTADOS CONTRATANTES.",6000000
226,Juan Fuenzalida Cobo,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",1000000
227,Juan Fuenzalida Cobo,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,5000000
228,Juan Fuenzalida Cobo,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA.,500000
229,Juan Fuenzalida Cobo,2019,,6193,09 jan 2019,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",5000000
230,Juan Fuenzalida Cobo,2018,,,,FUNDACION JAIME GUZMAN,"INFORME SOBRE PROYECTO DE LEY QUE PRIVILEGIA LA DISPOSICIÓN DE AGUAS SERVIDAS TRATADOS PARA USOS AGRÍCOLAS Y MINEROS,",500000
231,Juan Fuenzalida Cobo,2018,,5637,16 mar 2018,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",500000
232,Juan Fuenzalida Cobo,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
233,Juan Fuenzalida Cobo,2018,,5798,19 apr 2018,FUNDACION JAIME GUZMAN,INFORMES RESUMEN A LA SALA,3000000
234,Sergio Gahona Salazar,2021,,,,FUNDACION JAIME GUZMAN,"ASISTENCIA PRESENCIAL O TELEMÁTICA DE PROFESIONALES DEL ÁREA LEGISLATIVA DE LA FUNDACIÓN A LAS SESIONES DE LAS COMISIONES LEGISLATIVAS PERMANENTES EN QUE PARTICIPEN LOS DIPUTADOS CONTRATANTES, CON EL OBJETO DE ASESORARLOS Y APORTARLES INFORMACIÓN TÉCNICA RELEVANTE, PREPARAR MINUTAS DE ANÁLISIS Y COLABORAR EN LA REDACCIÓN DE INDICACIONES SOBRE LOS PROYECTOS DE LEY DEBATIDOS EN ESAS COMISIONES. ASÍ TAMBIÉN SE PRESTARÁ ASESORÍA TÉCNICA JURÍDICA EN LAS COMISIONES INVESTIGADORAS Y EN LOS REQUERIMIENTOS AL TRIBUNAL CONSTITUCIONAL EN QUE PARTICIPEN O QUE PRESENTEN LOS DIPUTADOS CONTRATANTES. ASIMISMO, SE REALIZARÁN MINUTAS DE CONTINGENCIA PARA EL RESPALDO TÉCNICO DE REPORTAJES EN LA PRENSA NACIONAL. ADICIONALMENTE, SE DISTRIBUIRÁ COPIA DE LOS INFORMES DENOMINADOS “RESUMEN A LA SALA”, QUE DESCRIBEN Y ANALIZAN SUCINTAMENTE LOS PRINCIPALES PROYECTOS DE LEY QUE SEAN PUESTOS EN TABLA PARA SU VOTACIÓN EN LA SALA DE LA CÁMARA, A TODOS LOS DIPUTADOS CONTRATANTES.",6000000
235,Sergio Gahona Salazar,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",1000000
236,Sergio Gahona Salazar,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,5000000
237,Sergio Gahona Salazar,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA,500000
238,Sergio Gahona Salazar,2019,,6209,09 jan 2019,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",5000000
239,Sergio Gahona Salazar,2018,,,,FUNDACION JAIME GUZMAN,INFORME SOBRE PROYECTO DE LEY QUE REGULA EL USO MEDICINAL DE PRODUCTOS DERIVADOS DE CANNABIS,500000
240,Sergio Gahona Salazar,2018,,5638,16 mar 2018,LUIS CANTELLANO AMPUERO,"REDACCIÓN DE PROYECTOS DE LEY, PROYECTOS DE ACUERDO.INTERVENCIONES EN SALA DE SESIONES ACERCA DE UN ASUNTO DE INTERÉS NACIONAL Y O DISTRITAL.PREPARACIÓN DE MATERIAL DE APOYO PARA LA DISCUSIÓN Y LA VOTACIÓN DE LOS PROYECTOS DE LEY, COMO ASIMISMO, LA ELABORACIÓN DE MINUTAS PARA LAS SESIONES ESPECIALES.ASESORAMIENTO POLÍTICO RESPECTO DE LOS TEMAS EXISTENTES EN LA AGENDA Y EL QUEHACER NACIONAL.",500000
241,Sergio Gahona Salazar,2018,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",500000
242,Sergio Gahona Salazar,2018,,5747,19 apr 2018,LUIS CANTELLANO AMPUERO,"Redacción de proyectos de ley, proyectos de acuerdo, intervenciones en la Sala de Sesiones acerca de un asunto de interés nacional y/o distrital. Preparación de material de apoyo para la discusión y la votación de los proyectos de ley, como asimismo, la elaboración de minutas para las Sesiones Especiales. Asesoramiento político respecto de los temas existentes en la agenda y el quehacer nacional.",500000
243,Sergio Gahona Salazar,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
244,Sergio Gahona Salazar,2018,,5790,19 apr 2018,FUNDACION JAIME GUZMAN,INFORMES RESUMEN A LA SALA,3000000
